nama_variabel;nama_variabel_turunan;nama_tahun;nama_turunan_tahun;data_content;nama_item_vertical_variabel
"Garis Kemiskinan Makanan Menurut Provinsi";Perdesaan;2015;"Semester 1 (Maret)";257337;"KALIMANTAN BARAT"
"Garis Kemiskinan Makanan Menurut Provinsi";Perdesaan;2015;"Semester 1 (Maret)";296856;"KALIMANTAN TENGAH"
"Garis Kemiskinan Makanan Menurut Provinsi";Perdesaan;2015;"Semester 1 (Maret)";255023;"KALIMANTAN SELATAN"
"Garis Kemiskinan Makanan Menurut Provinsi";Perdesaan;2015;"Semester 1 (Maret)";333612;"KALIMANTAN TIMUR"
"Garis Kemiskinan Makanan Menurut Provinsi";Perdesaan;2015;"Semester 1 (Maret)";339904;"KALIMANTAN UTARA"
"Garis Kemiskinan Makanan Menurut Provinsi";Perdesaan;2015;"Semester 1 (Maret)";240942;"SULAWESI UTARA"
"Garis Kemiskinan Makanan Menurut Provinsi";Perdesaan;2015;"Semester 1 (Maret)";261524;"SULAWESI TENGAH"
"Garis Kemiskinan Makanan Menurut Provinsi";Perdesaan;2015;"Semester 1 (Maret)";190563;"SULAWESI SELATAN"
"Garis Kemiskinan Makanan Menurut Provinsi";Perdesaan;2015;"Semester 1 (Maret)";196016;"SULAWESI TENGGARA"
"Garis Kemiskinan Makanan Menurut Provinsi";Perdesaan;2015;"Semester 1 (Maret)";207980;GORONTALO
"Garis Kemiskinan Makanan Menurut Provinsi";Perdesaan;2015;"Semester 1 (Maret)";209873;"SULAWESI BARAT"
"Garis Kemiskinan Makanan Menurut Provinsi";Perdesaan;2015;"Semester 1 (Maret)";315018;MALUKU
"Garis Kemiskinan Makanan Menurut Provinsi";Perdesaan;2015;"Semester 1 (Maret)";273858;"MALUKU UTARA"
"Garis Kemiskinan Makanan Menurut Provinsi";Perdesaan;2015;"Semester 1 (Maret)";358458;"PAPUA BARAT"
"Garis Kemiskinan Makanan Menurut Provinsi";Perdesaan;2015;"Semester 1 (Maret)";307562;PAPUA
"Garis Kemiskinan Makanan Menurut Provinsi";Perdesaan;2015;"Semester 1 (Maret)";245357;INDONESIA
"Garis Kemiskinan Makanan Menurut Provinsi";Perdesaan;2015;"Semester 2 (September)";306737;ACEH
"Garis Kemiskinan Makanan Menurut Provinsi";Perdesaan;2015;"Semester 2 (September)";284650;"SUMATERA UTARA"
"Garis Kemiskinan Makanan Menurut Provinsi";Perdesaan;2015;"Semester 2 (September)";313294;"SUMATERA BARAT"
"Garis Kemiskinan Makanan Menurut Provinsi";Perdesaan;2015;"Semester 2 (September)";318195;RIAU
"Garis Kemiskinan Makanan Menurut Provinsi";Perdesaan;2015;"Semester 2 (September)";258946;JAMBI
"Garis Kemiskinan Makanan Menurut Provinsi";Perdesaan;2015;"Semester 2 (September)";254209;"SUMATERA SELATAN"
"Garis Kemiskinan Makanan Menurut Provinsi";Perdesaan;2015;"Semester 2 (September)";329667;BENGKULU
"Garis Kemiskinan Makanan Menurut Provinsi";Perdesaan;2015;"Semester 2 (September)";264450;LAMPUNG
"Garis Kemiskinan Makanan Menurut Provinsi";Perdesaan;2015;"Semester 2 (September)";406405;"KEP. BANGKA BELITUNG"
"Garis Kemiskinan Makanan Menurut Provinsi";Perdesaan;2015;"Semester 2 (September)";343566;"KEP. RIAU"
"Garis Kemiskinan Makanan Menurut Provinsi";Perdesaan;2015;"Semester 2 (September)";-;"DKI JAKARTA"
"Garis Kemiskinan Makanan Menurut Provinsi";Perdesaan;2015;"Semester 2 (September)";241132;"JAWA BARAT"
"Garis Kemiskinan Makanan Menurut Provinsi";Perdesaan;2015;"Semester 2 (September)";232942;"JAWA TENGAH"
"Garis Kemiskinan Makanan Menurut Provinsi";Perdesaan;2015;"Semester 2 (September)";241725;"DI YOGYAKARTA"
"Garis Kemiskinan Makanan Menurut Provinsi";Perdesaan;2015;"Semester 2 (September)";240911;"JAWA TIMUR"
"Garis Kemiskinan Makanan Menurut Provinsi";Perdesaan;2015;"Semester 2 (September)";254860;BANTEN
"Garis Kemiskinan Makanan Menurut Provinsi";Perdesaan;2015;"Semester 2 (September)";222166;BALI
"Garis Kemiskinan Makanan Menurut Provinsi";Perdesaan;2015;"Semester 2 (September)";238879;"NUSA TENGGARA BARAT"
"Garis Kemiskinan Makanan Menurut Provinsi";Perdesaan;2015;"Semester 2 (September)";240102;"NUSA TENGGARA TIMUR"
"Garis Kemiskinan Makanan Menurut Provinsi";Perdesaan;2015;"Semester 2 (September)";271176;"KALIMANTAN BARAT"
"Garis Kemiskinan Makanan Menurut Provinsi";Perdesaan;2015;"Semester 2 (September)";306475;"KALIMANTAN TENGAH"
